observation_date,port_id,port_name,port_category,total_cargo_mt,total_cargo_tonnes,container_traffic_teu,overseas_loaded_cargo_tonnes,overseas_unloaded_cargo_tonnes,vessel_traffic_count,output_per_ship_berth_day_tonnes,turnaround_time_hours,berth_utilization_percent,source,source_url,license_status,retrieval_timestamp,dataset_version
2021-06-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.268,6268000,49527,2005760,4262240,179,21248.0,56.9,74.5,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-06-01T10:00:00Z,v1.0-india-mopsw
2021-06-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.452,3452000,43479,759440,2692560,99,26776.0,45.0,70.5,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-06-01T10:00:00Z,v1.0-india-mopsw
2021-06-01,india-chennai,Chennai Port,Major Port - East Coast,4.138,4138000,125467,1572440,2565560,146,18233.0,53.0,68.5,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-06-01T10:00:00Z,v1.0-india-mopsw
2021-06-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.235,3235000,63867,970500,2264500,117,16726.0,49.0,71.5,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-06-01T10:00:00Z,v1.0-india-mopsw
2021-06-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.152,5152000,53477,1339520,3812480,259,11600.0,78.9,77.5,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-06-01T10:00:00Z,v1.0-india-mopsw
2021-07-01,india-paradip,Paradip Port,Major Port - East Coast,11.074,11074000,4061,3100720,7973280,174,30915.0,47.3,81.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-07-01T10:00:00Z,v1.0-india-mopsw
2021-07-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.349,6349000,48857,2031680,4317320,179,21344.0,57.3,75.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-07-01T10:00:00Z,v1.0-india-mopsw
2021-07-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.503,3503000,42961,770660,2732340,99,26885.0,45.3,71.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-07-01T10:00:00Z,v1.0-india-mopsw
2021-07-01,india-chennai,Chennai Port,Major Port - East Coast,4.188,4187999,123568,1591440,2596559,146,18321.0,53.3,69.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-07-01T10:00:00Z,v1.0-india-mopsw
2021-07-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.277,3277000,62952,983100,2293900,118,16810.0,49.3,72.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-07-01T10:00:00Z,v1.0-india-mopsw
2021-07-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.216,5216000,52668,1356160,3859840,259,11672.0,79.2,78.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-07-01T10:00:00Z,v1.0-india-mopsw
2021-08-01,india-paradip,Paradip Port,Major Port - East Coast,11.0,11000000,3998,3080000,7920000,175,31005.0,47.6,80.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-08-01T10:00:00Z,v1.0-india-mopsw
2021-08-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.304,6304000,48145,2017280,4286720,179,21410.0,57.5,74.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-08-01T10:00:00Z,v1.0-india-mopsw
2021-08-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.486,3486000,42402,766920,2719080,99,26965.0,45.6,70.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-08-01T10:00:00Z,v1.0-india-mopsw
2021-08-01,india-chennai,Chennai Port,Major Port - East Coast,4.155,4155000,121568,1578900,2576100,146,18380.0,53.5,68.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-08-01T10:00:00Z,v1.0-india-mopsw
2021-08-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.254,3254000,61984,976200,2277800,118,16865.0,49.5,71.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-08-01T10:00:00Z,v1.0-india-mopsw
2021-08-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.177,5177000,51816,1346020,3830980,260,11714.0,79.3,77.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-08-01T10:00:00Z,v1.0-india-mopsw
2021-09-01,india-paradip,Paradip Port,Major Port - East Coast,11.648,11648000,3952,3261440,8386560,190,31063.0,47.6,79.8,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-09-01T10:00:00Z,v1.0-india-mopsw
2021-09-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.673,6673000,47623,2135360,4537640,195,21444.0,57.5,73.8,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-09-01T10:00:00Z,v1.0-india-mopsw
2021-09-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.697,3697000,42009,813340,2883660,107,27013.0,45.6,69.8,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-09-01T10:00:00Z,v1.0-india-mopsw
2021-09-01,india-chennai,Chennai Port,Major Port - East Coast,4.395,4395000,120058,1670100,2724900,159,18407.0,53.6,67.8,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-09-01T10:00:00Z,v1.0-india-mopsw
2021-09-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.444,3444000,61263,1033200,2410800,128,16888.0,49.6,70.8,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-09-01T10:00:00Z,v1.0-india-mopsw
2021-09-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.478,5478000,51172,1424280,4053720,282,11724.0,79.3,76.8,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-09-01T10:00:00Z,v1.0-india-mopsw
2021-10-01,india-paradip,Paradip Port,Major Port - East Coast,11.236,11236000,3937,3146080,8089920,190,31093.0,47.5,78.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-10-01T10:00:00Z,v1.0-india-mopsw
2021-10-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.435,6435000,47482,2059200,4375800,195,21450.0,57.4,72.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-10-01T10:00:00Z,v1.0-india-mopsw
2021-10-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.572,3572000,41950,785840,2786160,108,27033.0,45.5,68.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-10-01T10:00:00Z,v1.0-india-mopsw
2021-10-01,india-chennai,Chennai Port,Major Port - East Coast,4.234,4234000,119512,1608920,2625080,159,18405.0,53.4,66.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-10-01T10:00:00Z,v1.0-india-mopsw
2021-10-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.321,3321000,61033,996300,2324700,128,16883.0,49.5,69.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-10-01T10:00:00Z,v1.0-india-mopsw
2021-10-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.28,5280000,50939,1372800,3907200,283,11706.0,79.2,75.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-10-01T10:00:00Z,v1.0-india-mopsw
2021-11-01,india-paradip,Paradip Port,Major Port - East Coast,10.822,10822000,3962,3030160,7791840,190,31101.0,47.2,76.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-11-01T10:00:00Z,v1.0-india-mopsw
2021-11-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.195,6195000,47819,1982400,4212600,196,21434.0,57.1,70.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-11-01T10:00:00Z,v1.0-india-mopsw
2021-11-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.446,3446000,42313,758120,2687880,108,27031.0,45.2,66.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-11-01T10:00:00Z,v1.0-india-mopsw
2021-11-01,india-chennai,Chennai Port,Major Port - East Coast,4.073,4073000,120170,1547740,2525260,159,18382.0,53.1,64.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-11-01T10:00:00Z,v1.0-india-mopsw
2021-11-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.197,3197000,61418,959100,2237900,128,16856.0,49.2,67.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-11-01T10:00:00Z,v1.0-india-mopsw
2021-11-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.081,5081000,51220,1321060,3759940,283,11666.0,78.8,73.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-11-01T10:00:00Z,v1.0-india-mopsw
2021-12-01,india-paradip,Paradip Port,Major Port - East Coast,10.526,10526000,4025,2947280,7578720,191,31098.0,46.7,75.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-12-01T10:00:00Z,v1.0-india-mopsw
2021-12-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.023,6023000,48614,1927360,4095640,196,21408.0,56.6,69.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-12-01T10:00:00Z,v1.0-india-mopsw
2021-12-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.357,3357000,43083,738540,2618460,108,27018.0,44.8,65.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-12-01T10:00:00Z,v1.0-india-mopsw
2021-12-01,india-chennai,Chennai Port,Major Port - East Coast,3.957,3957000,121978,1503660,2453340,160,18348.0,52.7,63.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-12-01T10:00:00Z,v1.0-india-mopsw
2021-12-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.109,3109000,62391,932700,2176300,129,16818.0,48.7,66.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-12-01T10:00:00Z,v1.0-india-mopsw
2021-12-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,4.938,4938000,51990,1283880,3654120,284,11616.0,78.3,72.7,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-12-01T10:00:00Z,v1.0-india-mopsw
2022-01-01,india-paradip,Paradip Port,Major Port - East Coast,10.439,10439000,4115,2922920,7516080,191,31098.0,46.2,75.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-01-01T10:00:00Z,v1.0-india-mopsw
2022-01-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,5.971,5971000,49737,1910720,4060280,196,21384.0,56.0,69.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-01-01T10:00:00Z,v1.0-india-mopsw
2022-01-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.334,3334000,44144,733480,2600520,108,27008.0,44.2,65.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-01-01T10:00:00Z,v1.0-india-mopsw
2022-01-01,india-chennai,Chennai Port,Major Port - East Coast,3.92,3920000,124600,1489600,2430400,160,18316.0,52.1,63.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-01-01T10:00:00Z,v1.0-india-mopsw
2022-01-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.082,3082000,63782,924600,2157400,129,16783.0,48.1,66.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-01-01T10:00:00Z,v1.0-india-mopsw
2022-01-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,4.894,4894000,53108,1272440,3621560,284,11568.0,77.7,72.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-01-01T10:00:00Z,v1.0-india-mopsw
2022-02-01,india-paradip,Paradip Port,Major Port - East Coast,10.595,10595000,4213,2966600,7628400,191,31111.0,45.5,75.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-02-01T10:00:00Z,v1.0-india-mopsw
2022-02-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.058,6058000,50971,1938560,4119440,197,21374.0,55.3,69.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-02-01T10:00:00Z,v1.0-india-mopsw
2022-02-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.389,3389000,45308,745580,2643420,108,27011.0,43.5,65.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-02-01T10:00:00Z,v1.0-india-mopsw
2022-02-01,india-chennai,Chennai Port,Major Port - East Coast,3.973,3973000,127497,1509740,2463260,160,18299.0,51.4,63.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-02-01T10:00:00Z,v1.0-india-mopsw
2022-02-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.126,3126000,65316,937800,2188200,129,16761.0,47.5,66.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-02-01T10:00:00Z,v1.0-india-mopsw
2022-02-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,4.963,4963000,54343,1290380,3672620,285,11534.0,77.0,72.1,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-02-01T10:00:00Z,v1.0-india-mopsw
2022-03-01,india-paradip,Paradip Port,Major Port - East Coast,10.963,10963000,4301,3069640,7893360,192,31148.0,44.8,75.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-03-01T10:00:00Z,v1.0-india-mopsw
2022-03-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.266,6266000,52075,2005120,4260880,197,21387.0,54.7,69.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-03-01T10:00:00Z,v1.0-india-mopsw
2022-03-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.512,3512000,46357,772640,2739360,109,27038.0,42.9,65.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-03-01T10:00:00Z,v1.0-india-mopsw
2022-03-01,india-chennai,Chennai Port,Major Port - East Coast,4.107,4107000,130058,1560660,2546340,160,18305.0,50.7,63.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-03-01T10:00:00Z,v1.0-india-mopsw
2022-03-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.234,3234000,66679,970200,2263800,129,16763.0,46.8,66.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-03-01T10:00:00Z,v1.0-india-mopsw
2022-03-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.131,5131000,55434,1334060,3796940,285,11523.0,76.3,72.9,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-03-01T10:00:00Z,v1.0-india-mopsw
2022-04-01,india-paradip,Paradip Port,Major Port - East Coast,11.457,11457000,4368,3207960,8249040,192,31216.0,44.2,77.2,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-04-01T10:00:00Z,v1.0-india-mopsw
2022-04-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.545,6545000,52915,2094400,4450600,197,21431.0,54.0,71.2,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-04-01T10:00:00Z,v1.0-india-mopsw
2022-04-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.676,3676000,47174,808720,2867280,109,27096.0,42.2,67.2,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-04-01T10:00:00Z,v1.0-india-mopsw
2022-04-01,india-chennai,Chennai Port,Major Port - East Coast,4.287,4287000,131955,1629060,2657940,161,18341.0,50.1,65.2,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-04-01T10:00:00Z,v1.0-india-mopsw
2022-04-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.378,3378000,67704,1013400,2364600,130,16796.0,46.2,68.2,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-04-01T10:00:00Z,v1.0-india-mopsw
2022-04-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.358,5358000,56243,1393080,3964920,286,11543.0,75.6,74.2,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-04-01T10:00:00Z,v1.0-india-mopsw
2022-05-01,india-paradip,Paradip Port,Major Port - East Coast,11.953,11953000,4364,3346840,8606160,192,31315.0,43.6,78.6,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-05-01T10:00:00Z,v1.0-india-mopsw
2022-05-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.826,6826000,52914,2184320,4641680,197,21506.0,53.4,72.6,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-05-01T10:00:00Z,v1.0-india-mopsw
2022-05-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.841,3841000,47242,845020,2995980,109,27185.0,41.7,68.6,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-05-01T10:00:00Z,v1.0-india-mopsw
2022-05-01,india-chennai,Chennai Port,Major Port - East Coast,4.467,4467000,131754,1697460,2769540,161,18408.0,49.5,66.6,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-05-01T10:00:00Z,v1.0-india-mopsw
2022-05-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.523,3523000,67652,1056900,2466100,130,16860.0,45.6,69.6,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-05-01T10:00:00Z,v1.0-india-mopsw
2022-05-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.586,5586000,56157,1452360,4133640,286,11594.0,74.9,75.6,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2022-05-01T10:00:00Z,v1.0-india-mopsw
